ISBN13,Title,Format,Status
978-1-934840-00-9,Cool Maps for Curious Kids #2,Paperback,AC (GBR)/AC (USA)
978-1-934840-01-6,The Nine Current Supreme Court Justices,Paperback,AC (GBR)/AC (USA)
978-1-934840-02-3,"Cvn-78 Gerald R Ford, U S Navy Aircraft Carrier",Paperback,AC (GBR)/AC (USA)
978-1-934840-03-0,X-47 Unmanned Combat Air Vehicle,Paperback,AC (GBR)/AC (USA)
978-1-934840-04-7,Our Colorful Moon,Paperback,AC (GBR)/AC (USA)
978-1-934840-05-4,Liveblogging Blackwater by Jeremy Scahill,Paperback,AC (USA)/AC (GBR)
978-1-934840-06-1,"Cvn-77 George H W Bush, U S Navy Aircraft Carrier",Paperback,OS (GBR)/OS (USA)
978-1-934840-07-8,Cool Maps of Iraq,Paperback,AC (USA)/AC (GBR)
978-1-934840-08-5,"Cvn-76 Ronald Reagan, U S Navy Aircraft Carrier",Paperback,AC (USA)/AC (GBR)
978-1-934840-09-2,Borodino,Paperback,AC (GBR)/AC (USA)
978-1-934840-10-8,Napoleon in Moscow,Paperback,AC (USA)/AC (GBR)
978-1-934840-11-5,Cool Maps of Baghdad,Paperback,AC (USA)/AC (GBR)
978-1-934840-12-2,How to Fight And Win Space Wars,,
978-1-934840-13-9,Cool Maps of Iran,Paperback,AC (USA)/AC (GBR)
978-1-934840-14-6,Cool Maps of Indonesi,Paperback,AC (USA)/AC (GBR)
978-1-934840-15-3,Cool Maps of Cub,Paperback,AC (USA)/AC (GBR)
978-1-934840-16-0,"Jane's Fighting Ships 1904. (Naval Encyclopedia and Year Book): Facsimile Edition. Volume 2 of 2.  United States, Japan, Italy, Austria-Hungary, Coast Defense Navies, Minor Navies, topical surveys.",,
978-1-934840-17-7,The Handbook of Fifth-Generation Warfare,Hardback,AC (USA)/AC (GBR)
978-1-934840-18-4,"Bb-67 Montana, U S Navy Battleship",Paperback,AC (USA)/AC (GBR)
978-1-934840-19-1,"Cvn-68 Nimitz, U S Navy Aircraft Carrier",Paperback,AC (USA)/AC (GBR)
978-1-934840-20-7,"Cvn-69 Dwight D Eisenhower, U S Navy Aircraft Carrier",Paperback,AC (USA)/AC (GBR)
978-1-934840-21-4,"Cvn-70 Carl Vinson, U S Navy Aircraft Carrier",Paperback,AC (USA)/AC (GBR)
978-1-934840-22-1,"Cvn-71 Theodore Roosevelt, U S Navy Aircraft Carrier",Paperback,AC (USA)/AC (GBR)
978-1-934840-23-8,"Cvn-72 Abraham Lincoln, U S Navy Aircraft Carrier",Paperback,AC (USA)/AC (GBR)
978-1-934840-24-5,"Cvn-73 George Washington, U S Navy Aircraft Carrier",Paperback,AC (USA)/AC (GBR)
978-1-934840-25-2,"Cvn-74 John C Stennis, U S Navy Aircraft Carrier",Paperback,AC (USA)/AC (GBR)
978-1-934840-26-9,"Cvn-75 Harry S Truman, U S Navy Aircraft Carrier",Paperback,AC (USA)/AC (GBR)
978-1-934840-27-6,The United States Secret Service Failed To Prepare for Insurrection Day: Scanned Documents Released via FOIA,,
978-1-934840-28-3,"Ddg-81 Winston S Churchill, U S Navy Destroyer",Paperback,AC (USA)/AC (GBR)
978-1-934840-29-0,Report on Matters Related to Intelligence Activities and Investigations Arising Out of the 2016 Presidential Campaigns [Annotated],,AVAILAABLE
978-1-934840-30-6,"Ssn-23 Jimmy Carter, U S Navy Submarine",Paperback,AC (USA)/AC (GBR)
978-1-934840-31-3,Cool Maps of France,Paperback,AC (USA)/AC (GBR)
978-1-934840-32-0,Cool Maps of France's Overseas Territories and Departments,Paperback,AC (USA)/AC (GBR)
978-1-934840-33-7,"Reread THE DEATHLY HALLOWS Today! with unauthorized, pithy, chapter-by-chapter perspectives",,
978-1-934840-34-4,Battleship Yamato,Paperback,AC (USA)/AC (GBR)
978-1-934840-35-1,Bedrock Prime: How Can the United States Best Address the Need to Achieve Dominance within the Subterranean Domain,,
978-1-934840-36-8,Revolutionary Strategies in Early Christianity,Paperback,AC (USA)/AC (GBR)
978-1-934840-37-5,War Bots,Paperback,AC (USA)/AC (GBR)
978-1-934840-38-2,Iowa Class Battleships and Alaska Class Large Cruisers Conversion Projects 1942-1964,Paperback,OS (USA)/OS (GBR)
978-1-934840-39-9,Through Stranger Eyes,Paperback,AC (USA)/IO (GBR)
978-1-934840-40-5,Battleship V Battleship,Paperback,AC (USA)
978-1-934840-41-2,FBI Whistleblowers: What Their Disclosures Indicate About The Politicization Of The FBI And Justice Department: Republican Staff Report,,
978-1-934840-42-9,The Ship Killers: The Definitive Illustrated History of the Torpedo Boat,,
978-1-934840-43-6,Vocabolario Marino E Militare: Maritime and Military Vocabulary [Italian],,
978-1-934840-44-3,The Unauthorized Harry Potter Quiz Book,Paperback,AC (USA)/AC (GBR)
978-1-934840-45-0,"A History Of Computer Operating Systems: Unix, Dos, Lisa, Macintosh, Windows, Linux",,
978-1-934840-46-7,The John Boyd Roundtable,Paperback,AC (USA)/AC (GBR)
978-1-934840-47-4,District Of Columbia Et Al. V. Heller: Supreme Court Establishes An Individual Right To Bear Arms: Under The Second Amendment; So Much For Gun Control,,
978-1-934840-48-1,Decisive Battles Remixed: The Battle Of Marathon,,
978-1-934840-49-8,The Shack,Paperback,AC (USA)/AC (GBR)
978-1-934840-50-4,A Marine of the Imperial Guard,Paperback,AC (USA)/AC (GBR)
978-1-934840-51-1,We Tried to Warn You,Paperback,AC (USA)/AC (GBR)
978-1-934840-52-8,In the Shadow of the Battleship,Paperback,AC (USA)/AC (GBR)
978-1-934840-53-5,European USSR Coasts and Landing Zones - Joint Army-Navy Intelligence
European USSR Coasts and Landing Zones,,AVAILABLE
978-1-934840-54-2,Skeeter Sneeter Doodlebop,Paperback,AC (USA)/AC (GBR)
978-1-934840-55-9,"DDG - 1000 Zumwalt, U.S. Navy Destroyer: U.S. Navy ""Stealth"" Destroyer",,
978-1-934840-56-6,From Geek to Peak,Paperback,AC (USA)
978-1-934840-57-3,Re-Read Harry Potter and the Sorcerer's Stone Today! an Unauthorized Guide,Paperback,AC (USA)/AC (GBR)
978-1-934840-58-0,The Definitive Illustrated History of the Torpedo Boat - Volume XI,,
978-1-934840-59-7,"The Definitive Illustrated History of the Torpedo Boat - Volume I, Overview",Paperback,AC (USA)/AC (GBR)
978-1-934840-60-3,"The Definitive Illustrated History of the Torpedo Boat - Volume II , 1280 - 1899",Paperback,AC (USA)/AC (GBR)
978-1-934840-61-0,"The Definitive Illustrated History of the Torpedo Boat -- Volume III , 1900 - 1939",Paperback,AC (USA)/AC (GBR)
978-1-934840-62-7,"The Definitive Illustrated History of the Torpedo Boat -- Volume Iv, 1939-1940",Paperback,AC (USA)/AC (GBR)
978-1-934840-63-4,The Definitive Illustrated History of the Torpedo Boat,Paperback,AC (USA)/AC (GBR)
978-1-934840-64-1,The Definitive Illustrated History of the Torpedo Boat,Paperback,AC (USA)/AC (GBR)
978-1-934840-65-8,The Definitive Illustrated History of the Torpedo Boat,Paperback,AC (USA)/AC (GBR)
978-1-934840-66-5,The Definitive Illustrated History of the Torpedo Boat,Paperback,AC (USA)/AC (GBR)
978-1-934840-67-2,The Definitive Illustrated History of the Torpedo Boat,Paperback,AC (USA)/AC (GBR)
978-1-934840-68-9,The Definitive Illustrated History of the Torpedo Boat,Paperback,AC (USA)/AC (GBR)
978-1-934840-69-6,Pocket Battleship Deutschland,Paperback,AC (USA)/AC (GBR)
978-1-934840-70-2,We Are The Future - India,Hardcover,AVAILABLE
978-1-934840-71-9,We Are The Future - India,,AVAILABLE
978-1-934840-72-6,Re-Read Harry Potter and the Chamber of Secrets Today! an Unauthorized Guide,Paperback,AC (USA)/AC (GBR)
978-1-934840-73-3,Bedrock Prime: How Can the United States Best Address the Need to Achieve Dominance within the Subterranean Domain,,AVAILABLE
978-1-934840-74-0,"	
Confidential Human Source Policy Guide [Annotated]: 1018 PG; May 21, 2019",,AVAILABLE
978-1-934840-75-7,Executive Order on AI,,AVAILABLE
978-1-934840-76-4,Tunnel Rats version 2.0,,AVAILABLE
978-1-934840-77-1,Suicide Bombers in CONUS,,AVAILABLE
978-1-934840-78-8,The Call of Nepal,Paperback,AC (USA)/AC (GBR)
978-1-934840-79-5,Exploring Beedle the Bard,Paperback,AC (USA)/AC (GBR)
978-1-934840-80-1,Threats in the Age of Obam,Paperback,AC (USA)/AC (GBR)
978-1-934840-81-8,Persuader-in-Chief,Paperback,AC (USA)/AC (GBR)
978-1-934840-82-5,Age of Obam,Paperback,AC (USA)/AC (GBR)
978-1-934840-83-2,Obama Does Globalistan,Paperback,AC (USA)/AC (GBR)
978-1-934840-84-9,Epstein,,AVAILABLE
978-1-934840-85-6,Building the Pt Boats,Paperback,AC (USA)/AC (GBR)
978-1-934840-86-3,Strategic Satellite Systems in a Post-Cold-War Environment,,AVAILABLE
978-1-934840-87-0,"The Impact of the USS Forrestal's 1967 Fire on United States Navy Shipboard Damage Control""",,AVAILABLE
978-1-934840-88-7,Soviet Space Technology,,AVAILABLE
978-1-934840-89-4,"Index of Oral Histories ...",,AVAILABLE
978-1-934840-90-0,Born American,Paperback,AC (USA)/AC (GBR)
978-1-934840-91-7,Dark Navy,Paperback,AC (GBR)/AC (USA)
978-1-934840-92-4,Titivillicus 1,Paperback,AVAILABLE
978-1-934840-93-1,Aquiline,,AVAILABLE
978-1-934840-94-8,Secrets of the Modern World,Paperback,AC (USA)/AC (GBR)
978-1-934840-95-5,Imperial Japanese Navy 1932-1945 Warships and Colours,,AVAILABLE
978-1-934840-96-2,The World's Warships 1915,,AVAILABLE
978-1-934840-97-9,Principles of War,Paperback,AC (USA)/AC (GBR)
978-1-934840-98-6,Blood on Our Hands,Paperback,AC (USA)/AC (GBR)
978-1-934840-99-3,Fallen Walls and Fallen Towers,Hardback,AC (USA)/AC (GBR)