ISBN13,Title,Format,Status,NOTES
978-1-60888-259-5,Spar-Torpedo Instructions for the United States Navy,Paperback,AC (USA),
978-1-60888-260-1,Great Power Competition: Implications for Defense-Issues for Congress,,Available,
978-1-60888-261-8,State of the Space Industrial Base,,Available,
978-1-60888-262-5,Space Diplomacy: Deterring Electromagnetic Weapons in Space,,Available,
978-1-60888-263-2,The NRO At Fifty,,Available,
978-1-60888-264-9,"A Modest Proposal: For Preventing Space Operations from Being a Burden to the Navy, and for Making the Space Cadre Beneficial to the Community",,Available,
978-1-60888-265-6,Spies in Space,,Available,
978-1-60888-266-3,Navy-After-Next Contingency Producible Corvette,,Available,
978-1-60888-267-0,Annotated Bibliography of Publications from the U.S. Navy's Marine Mammal Program,,Available,
978-1-60888-268-7,"The Impact of The General Board of The Navy
on Interwar Submarine Design",,Available,
978-1-60888-269-4,THE SOVIET HISTORY OF WORLD WAR II,,,
978-1-60888-270-0,Annotated Bibliography of Publications from the U.S. Navy's Marine Mammal Program,,,
978-1-60888-271-7,Improved Anti-Submarine Warfare (ASW) Effectiveness,,Available,
978-1-60888-272-4,Proceedings of the Board of Investigation in the case of Mr. James V. Forrestal,,Available,
978-1-60888-273-1,The Effects of Sea Mining on Amphibious Warfare,,Available,
978-1-60888-274-8,avigation Rules and Regulations Handbook,,,
978-1-60888-275-5,Marine Tanks: The Hard Punch of America's Middle-Weight Fighting Force,,,
978-1-60888-276-2,Comfortable with Chaos,,Available,
978-1-60888-277-9,"Changes to United States Navy Submarine Design and Construction During World War I, as Determined by The General Board",,Available,
978-1-60888-278-6,Soviet Naval Special Purpose Forces: Origins and Operations in World War II,,Available,
978-1-60888-279-3,The Future of Strategic ASW,,Available,
978-1-60888-280-9,Literature Review of Colorimetric Indicators for Nerve-Agent Detection,,,
978-1-60888-281-6,A Fork in the Path to the Heavens,,,
978-1-60888-282-3,"Biogeochemistry, Planetary Protection, and Astromaterials Curation:",,,
978-1-60888-283-0,Development of Three Cognitive Assessments for Officer Classification ,,,
978-1-60888-284-7,Analysis of Pathways to Reach Net Zero Naval Operations by 2050 ,,,
978-1-60888-285-4,Moon-to-Mars Architecture Definition Document (ESDMD-001) ,,,
978-1-60888-286-1,JWST from below,,,
978-1-60888-287-8,"Recommendations for Developing Space Suit Integrated Food Systems and Delivering Nutrition Before, During, and After Lunar EVA",,,
978-1-60888-288-5,Spacecraft Anomalies and Failures Workshop 2023,,,
978-1-60888-289-2,Wireless Power Transmission (WPT) Technology,,,
978-1-60888-290-8,"Exploring Coupled Land-Atmosphere Carbon Dynamics and
Seasonal Carbon Forecast Skill",,,
978-1-60888-291-5,Linking Online Engagement to Pandemic Responses,,,
978-1-60888-292-2,Material Specifications for Attack Countermeasures on Bridges,,,
978-1-60888-293-9,Eurasia v. NATOstan,,,
978-1-60888-294-6,PT Boat Bases: Volume 1: Pacific 1942-1943,,,
978-1-60888-295-3,Eurasia v. NATOstan,,,
978-1-60888-296-0,Annual Threat Assessment of the U.S. Intelligence Community [Annotated],,,
978-1-60888-297-7,CIA ANALYSIS OF THE WARSAW PACT FORCES: THE IMPORTANCE OF CLANDESTINE REPORTING,,,
978-1-60888-298-4,United States Antarctic Program (USAP) Sexual Assault/Harassment Prevention and Response (SAHPR),,,
978-1-60888-299-1,Warsaw Pact Forces Opposite NATO [Annotated]: National Intelligence Estimate,,,
978-1-60888-300-4,"Japanese 18"" Gun Mounts [Annotated]",,,
978-1-60888-301-1,Psychological Warfare: Selected and Annotated Bibliography [Annotated]:,,,
978-1-60888-302-8,Analysis of Psychological Operations (PSYOP),,,
978-1-60888-303-5,Codes and Ciphers of the Civil War,,,
978-1-60888-304-2,The National Security Agency and The EC-121 Shootdown,,,
978-1-60888-305-9,Report to Congress ... (NSM-20),,,
978-1-60888-306-6,Operation REGAL: The Berlin Tunnel,,,
978-1-60888-307-3,Collateral Damage to Satellites from An EMP Attack,,,
978-1-60888-308-0,United States High-Altitude Test Experiences: A Review Emphasizing the Impact on the Environment,,,
978-1-60888-309-7,Strategic Sealift:  Decisions Today to Ensure Tomorrow,,,
978-1-60888-310-3,CIA and Dr. Zhivago,,,
978-1-60888-311-0,Space-Based Solar Power,,,
978-1-60888-312-7,Friedman Lectures on Cryptology,,,
978-1-60888-313-4,An Operational Analysis For Air Force 2025: An Application Of Value-Focused Thinking To Future Air And Space Capabilities,,,
978-1-60888-314-1,John C. Hartfield's Lisbonian Selection of Roots and Terminals,,,
978-1-60888-315-8,Feasibility Study of a Satellite Solar Power Station,,,
978-1-60888-316-5,Glossary of erbo-Croatian ,,,
 ,Naval War College Style Guide,,,
978-1-60888-318-9,Rumsfeld report,,,
978-1-60888-319-6,Articles on Crypography and Crypotlogy,,,
978-1-60888-320-2,The Soviet Bloc Role In International Terrorism And Revolutionary Violence,,,
978-1-60888-321-9,"	
Fighting A Nuclear-Armed Regional Opponent: Is Victory Possible?",,,
978-1-60888-322-6,Wargame 3-14: Implications of Events in Ukraine for the U.S. Army Analysis,,,
978-1-60888-323-3,Army Expeditionary Intermodal Operations,,,
978-1-60888-324-0,"Military Cryptanalysis, Part I",,,
978-1-60888-325-7,Antarctic Dive Guide,,,
978-1-60888-326-4,Situational Awareness: The Decade Ahead,,,
978-1-60888-327-1,The Spadats Mathematical Model,,,
978-1-60888-328-8,Tentative Manual for Expeditionary Advanced Base Operations,,,
978-1-60888-329-5,Case 1:21-cv-02886-FYP   Document 194,,,
978-1-60888-330-1,Soviet Military Rear Services in East Germany,,,
978-1-60888-331-8,The Art of Persuasion: Mastering the Power of Influence,,,
978-1-60888-332-5,David's Wings: The Strategic Development of the Israeli Air Force,,,
978-1-60888-333-2,Activities of U.S. Nationals in Antarctica,,,
978-1-60888-334-9,FIPS 204 Module-Lattice-Based Digital Signature Standard,,,
978-1-60888-335-6,Federal Information Processing Standards Publication Stateless Hash-Based Digital Signature Standard,,,
978-1-60888-336-3,Russian Life Today,Paperback,,
978-1-60888-337-0,Fast-Day Cookery,,,
978-1-60888-338-7,,,,
978-1-60888-339-4,,,,
978-1-60888-340-0,,,,
978-1-60888-341-7,,,,
978-1-60888-342-4,,,,
978-1-60888-343-1,,,,
978-1-60888-344-8,,,,
978-1-60888-345-5,,,,
978-1-60888-346-2,,,,
978-1-60888-347-9,,,,
978-1-60888-348-6,,,,
978-1-60888-349-3,,,,
978-1-60888-350-9,,,,
978-1-60888-351-6,,,,
978-1-60888-352-3,,,,
978-1-60888-353-0,,,,
978-1-60888-354-7,,,,
978-1-60888-355-4,,,,
978-1-60888-356-1,,,,
978-1-60888-357-8,,,,
978-1-60888-358-5,,,,
978-1-60888-359-2,,,,
978-1-60888-360-8,,,,
978-1-60888-361-5,,,,
978-1-60888-362-2,,,,
978-1-60888-363-9,,,,
978-1-60888-364-6,,,,
978-1-60888-365-3,,,,
978-1-60888-366-0,,,,
978-1-60888-367-7,,,,
978-1-60888-368-4,,,,
978-1-60888-369-1,,,,
978-1-60888-370-7,,,,
978-1-60888-371-4,,,,
978-1-60888-372-1,,,,
978-1-60888-373-8,,,,
978-1-60888-374-5,,,,
978-1-60888-375-2,,,,
978-1-60888-376-9,,,,
978-1-60888-377-6,,,,
978-1-60888-378-3,,,,
978-1-60888-379-0,,,,
978-1-60888-380-6,,,,
978-1-60888-381-3,,,,
978-1-60888-382-0,,,,
978-1-60888-383-7,,,,
978-1-60888-384-4,,,,
978-1-60888-385-1,,,,
978-1-60888-386-8,,,,
978-1-60888-387-5,,,,
978-1-60888-388-2,,,,
978-1-60888-389-9,,,,
978-1-60888-390-5,,,,
978-1-60888-391-2,,,,
978-1-60888-392-9,,,,
978-1-60888-393-6,,,,
978-1-60888-394-3,,,,
978-1-60888-395-0,,,,
978-1-60888-396-7,,,,
978-1-60888-397-4,,,,
978-1-60888-398-1,,,,
978-1-60888-399-8,,,,
978-1-60888-400-1,,,,
978-1-60888-401-8,,,,
978-1-60888-402-5,,,,
978-1-60888-403-2,,,,
978-1-60888-404-9,,,,
978-1-60888-405-6,,,,
978-1-60888-406-3,,,,
978-1-60888-407-0,,,,
978-1-60888-408-7,Football Nomad,AC (USA),,
978-1-60888-409-4,,,,
978-1-60888-410-0,,,,
978-1-60888-411-7,,,,
978-1-60888-412-4,,,,
978-1-60888-413-1,,,,
978-1-60888-414-8,,,,
978-1-60888-415-5,,,,
978-1-60888-416-2,,,,
978-1-60888-417-9,,,,
978-1-60888-418-6,,,,
978-1-60888-419-3,,,,
978-1-60888-420-9,,,,
978-1-60888-421-6,,,,
978-1-60888-422-3,,,,
978-1-60888-423-0,,,,
978-1-60888-424-7,,,,
978-1-60888-425-4,,,,
978-1-60888-426-1,,,,
978-1-60888-427-8,,,,
978-1-60888-428-5,,,,
978-1-60888-429-2,,,,
978-1-60888-430-8,,,,
978-1-60888-431-5,,,,
978-1-60888-432-2,,,,
978-1-60888-433-9,,,,
978-1-60888-434-6,,,,
978-1-60888-435-3,,,,
978-1-60888-436-0,,,,
978-1-60888-437-7,,,,
978-1-60888-438-4,,,,
978-1-60888-439-1,,,,
978-1-60888-440-7,,,,
978-1-60888-441-4,,,,
978-1-60888-442-1,,,,
978-1-60888-443-8,,,,
978-1-60888-444-5,,,,
978-1-60888-445-2,,,,
978-1-60888-446-9,,,,
978-1-60888-447-6,,,,
978-1-60888-448-3,,,,
978-1-60888-449-0,,,,
978-1-60888-450-6,,,,
978-1-60888-451-3,,,,
978-1-60888-452-0,,,,
978-1-60888-453-7,,,,
978-1-60888-454-4,,,,
978-1-60888-455-1,,,,
978-1-60888-456-8,,,,
978-1-60888-457-5,,,,
978-1-60888-458-2,,,,
978-1-60888-459-9,,,,
978-1-60888-460-5,,,,
978-1-60888-461-2,,,,
978-1-60888-462-9,,,,
978-1-60888-463-6,,,,
978-1-60888-464-3,,,,
978-1-60888-465-0,,,,
978-1-60888-466-7,,,,
978-1-60888-467-4,,,,
978-1-60888-468-1,,,,
978-1-60888-469-8,,,,
978-1-60888-470-4,,,,
978-1-60888-471-1,,,,
978-1-60888-472-8,,,,
978-1-60888-473-5,,,,
978-1-60888-474-2,,,,
978-1-60888-475-9,,,,
978-1-60888-476-6,,,,
978-1-60888-477-3,,,,
978-1-60888-478-0,,,,
978-1-60888-479-7,,,,
978-1-60888-480-3,,,,
978-1-60888-481-0,,,,
978-1-60888-482-7,,,,
978-1-60888-483-4,,,,
978-1-60888-484-1,,,,
978-1-60888-485-8,,,,
978-1-60888-486-5,,,,
978-1-60888-487-2,,,,
978-1-60888-488-9,,,,
978-1-60888-489-6,,,,
978-1-60888-490-2,,,,
978-1-60888-491-9,,,,
978-1-60888-492-6,,,,
978-1-60888-493-3,,,,
978-1-60888-494-0,,,,
978-1-60888-495-7,,,,
978-1-60888-496-4,,,,
978-1-60888-497-1,,,,
978-1-60888-498-8,,,,
978-1-60888-499-5,,,,
978-1-60888-500-8,,,,
978-1-60888-501-5,,,,
978-1-60888-502-2,,,,
978-1-60888-503-9,,,,
978-1-60888-504-6,,,,
978-1-60888-505-3,,,,
978-1-60888-506-0,,,,
978-1-60888-507-7,,,,
978-1-60888-508-4,,,,
978-1-60888-509-1,,,,
978-1-60888-510-7,,,,
978-1-60888-511-4,,,,
978-1-60888-512-1,,,,
978-1-60888-513-8,,,,
978-1-60888-514-5,,,,
978-1-60888-515-2,,,,
978-1-60888-516-9,,,,
978-1-60888-517-6,,,,
978-1-60888-518-3,,,,
978-1-60888-519-0,,,,
978-1-60888-520-6,,,,
978-1-60888-521-3,,,,
978-1-60888-522-0,,,,
978-1-60888-523-7,,,,
978-1-60888-524-4,,,,
978-1-60888-525-1,,,,
978-1-60888-526-8,,,,
978-1-60888-527-5,,,,
978-1-60888-528-2,,,,
978-1-60888-529-9,,,,
978-1-60888-530-5,,,,
978-1-60888-531-2,,,,
978-1-60888-532-9,,,,
978-1-60888-533-6,,,,
978-1-60888-534-3,,,,
978-1-60888-535-0,,,,
978-1-60888-536-7,,,,
978-1-60888-537-4,,,,
978-1-60888-538-1,,,,
978-1-60888-539-8,,,,
978-1-60888-540-4,,,,
978-1-60888-541-1,,,,
978-1-60888-542-8,,,,
978-1-60888-543-5,,,,
978-1-60888-544-2,,,,
978-1-60888-545-9,,,,
978-1-60888-546-6,,,,
978-1-60888-547-3,,,,
978-1-60888-548-0,,,,
978-1-60888-549-7,,,,
978-1-60888-550-3,,,,
978-1-60888-551-0,,,,
978-1-60888-552-7,,,,
978-1-60888-553-4,,,,
978-1-60888-554-1,,,,
978-1-60888-555-8,,,,
978-1-60888-556-5,,,,
978-1-60888-557-2,,,,
978-1-60888-558-9,,,,
978-1-60888-559-6,,,,
978-1-60888-560-2,,,,
978-1-60888-561-9,,,,
978-1-60888-562-6,,,,
978-1-60888-563-3,,,,
978-1-60888-564-0,,,,
978-1-60888-565-7,,,,
978-1-60888-566-4,,,,
978-1-60888-567-1,,,,
978-1-60888-568-8,,,,
978-1-60888-569-5,,,,
978-1-60888-570-1,,,,
978-1-60888-571-8,,,,
978-1-60888-572-5,,,,
978-1-60888-573-2,,,,
978-1-60888-574-9,,,,
978-1-60888-575-6,,,,
978-1-60888-576-3,,,,
978-1-60888-577-0,,,,
978-1-60888-578-7,,,,
978-1-60888-579-4,,,,
978-1-60888-580-0,,,,
978-1-60888-581-7,,,,
978-1-60888-582-4,,,,
978-1-60888-583-1,,,,
978-1-60888-584-8,,,,
978-1-60888-585-5,,,,
978-1-60888-586-2,,,,
978-1-60888-587-9,,,,
978-1-60888-588-6,,,,
978-1-60888-589-3,,,,
978-1-60888-590-9,,,,
978-1-60888-591-6,,,,
978-1-60888-592-3,,,,
978-1-60888-593-0,,,,
978-1-60888-594-7,,,,
978-1-60888-595-4,,,,
978-1-60888-596-1,,,,
978-1-60888-597-8,,,,
978-1-60888-598-5,,,,
978-1-60888-599-2,,,,
978-1-60888-600-5,,,,
978-1-60888-601-2,,,,
978-1-60888-602-9,,,,
978-1-60888-603-6,,,,
978-1-60888-604-3,,,,
978-1-60888-605-0,,,,
978-1-60888-606-7,,,,
978-1-60888-607-4,,,,
978-1-60888-608-1,,,,
978-1-60888-609-8,,,,
978-1-60888-610-4,,,,
978-1-60888-611-1,,,,
978-1-60888-612-8,,,,
978-1-60888-613-5,,,,
978-1-60888-614-2,,,,
978-1-60888-615-9,,,,
978-1-60888-616-6,,,,
978-1-60888-617-3,,,,
978-1-60888-618-0,,,,
978-1-60888-619-7,,,,
978-1-60888-620-3,,,,
978-1-60888-621-0,,,,
978-1-60888-622-7,,,,
978-1-60888-623-4,,,,
978-1-60888-624-1,,,,
978-1-60888-625-8,,,,
978-1-60888-626-5,,,,
978-1-60888-627-2,,,,
978-1-60888-628-9,,,,
978-1-60888-629-6,,,,
978-1-60888-630-2,,,,
978-1-60888-631-9,,,,
978-1-60888-632-6,,,,
978-1-60888-633-3,,,,
978-1-60888-634-0,,,,
978-1-60888-635-7,,,,
978-1-60888-636-4,,,,
978-1-60888-637-1,,,,
978-1-60888-638-8,,,,
978-1-60888-639-5,,,,
978-1-60888-640-1,,,,
978-1-60888-641-8,,,,
978-1-60888-642-5,,,,
978-1-60888-643-2,,,,
978-1-60888-644-9,,,,
978-1-60888-645-6,,,,
978-1-60888-646-3,,,,
978-1-60888-647-0,,,,
978-1-60888-648-7,,,,
978-1-60888-649-4,,,,
978-1-60888-650-0,,,,
978-1-60888-651-7,,,,
978-1-60888-652-4,,,,
978-1-60888-653-1,,,,
978-1-60888-654-8,,,,
978-1-60888-655-5,,,,
978-1-60888-656-2,,,,
978-1-60888-657-9,,,,
978-1-60888-658-6,,,,
978-1-60888-659-3,,,,
978-1-60888-660-9,,,,
978-1-60888-661-6,,,,
978-1-60888-662-3,,,,
978-1-60888-663-0,,,,
978-1-60888-664-7,,,,
978-1-60888-665-4,,,,
978-1-60888-666-1,,,,
978-1-60888-667-8,,,,
978-1-60888-668-5,,,,
978-1-60888-669-2,,,,
978-1-60888-670-8,,,,
978-1-60888-671-5,,,,
978-1-60888-672-2,,,,
978-1-60888-673-9,,,,
978-1-60888-674-6,,,,
978-1-60888-675-3,,,,
978-1-60888-676-0,,,,
978-1-60888-677-7,,,,
978-1-60888-678-4,,,,
978-1-60888-679-1,,,,
978-1-60888-680-7,,,,
978-1-60888-681-4,,,,
978-1-60888-682-1,,,,
978-1-60888-683-8,,,,
978-1-60888-684-5,,,,
978-1-60888-685-2,,,,
978-1-60888-686-9,,,,
978-1-60888-687-6,,,,
978-1-60888-688-3,,,,
978-1-60888-689-0,,,,
978-1-60888-690-6,,,,
978-1-60888-691-3,,,,
978-1-60888-692-0,,,,
978-1-60888-693-7,,,,
978-1-60888-694-4,,,,
978-1-60888-695-1,,,,
978-1-60888-696-8,,,,
978-1-60888-697-5,,,,
978-1-60888-698-2,,,,
978-1-60888-699-9,,,,
978-1-60888-700-2,,,,
978-1-60888-701-9,,,,
978-1-60888-702-6,,,,
978-1-60888-703-3,,,,
978-1-60888-704-0,,,,
978-1-60888-705-7,,,,
978-1-60888-706-4,,,,
978-1-60888-707-1,,,,
978-1-60888-708-8,,,,
978-1-60888-709-5,,,,
978-1-60888-710-1,,,,
978-1-60888-711-8,,,,
978-1-60888-712-5,,,,
978-1-60888-713-2,,,,
978-1-60888-714-9,,,,
978-1-60888-715-6,,,,
978-1-60888-716-3,,,,
978-1-60888-717-0,,,,
978-1-60888-718-7,,,,
978-1-60888-719-4,,,,
978-1-60888-720-0,,,,
978-1-60888-721-7,,,,
978-1-60888-722-4,,,,
978-1-60888-723-1,,,,
978-1-60888-724-8,,,,
978-1-60888-725-5,,,,
978-1-60888-726-2,,,,
978-1-60888-727-9,,,,
978-1-60888-728-6,,,,
978-1-60888-729-3,,,,
978-1-60888-730-9,,,,
978-1-60888-731-6,,,,
978-1-60888-732-3,,,,
978-1-60888-733-0,,,,
978-1-60888-734-7,,,,
978-1-60888-735-4,,,,
978-1-60888-736-1,,,,
978-1-60888-737-8,,,,
978-1-60888-738-5,,,,
978-1-60888-739-2,,,,
978-1-60888-740-8,,,,
978-1-60888-741-5,,,,
978-1-60888-742-2,,,,
978-1-60888-743-9,,,,
978-1-60888-744-6,,,,
978-1-60888-745-3,,,,
978-1-60888-746-0,,,,
978-1-60888-747-7,,,,
978-1-60888-748-4,,,,
978-1-60888-749-1,,,,
978-1-60888-750-7,,,,
978-1-60888-751-4,,,,
978-1-60888-752-1,,,,
978-1-60888-753-8,,,,
978-1-60888-754-5,,,,
978-1-60888-755-2,,,,
978-1-60888-756-9,,,,
978-1-60888-757-6,,,,
978-1-60888-758-3,,,,
978-1-60888-759-0,,,,
978-1-60888-760-6,,,,
978-1-60888-761-3,,,,
978-1-60888-762-0,,,,
978-1-60888-763-7,,,,
978-1-60888-764-4,,,,
978-1-60888-765-1,,,,
978-1-60888-766-8,,,,
978-1-60888-767-5,,,,
978-1-60888-768-2,,,,
978-1-60888-769-9,,,,
978-1-60888-770-5,,,,
978-1-60888-771-2,,,,
978-1-60888-772-9,,,,
978-1-60888-773-6,,,,
978-1-60888-774-3,,,,
978-1-60888-775-0,,,,
978-1-60888-776-7,,,,
978-1-60888-777-4,,,,
978-1-60888-778-1,,,,
978-1-60888-779-8,,,,
978-1-60888-780-4,,,,
978-1-60888-781-1,,,,
978-1-60888-782-8,,,,
978-1-60888-783-5,,,,
978-1-60888-784-2,,,,
978-1-60888-785-9,,,,
978-1-60888-786-6,,,,
978-1-60888-787-3,,,,
978-1-60888-788-0,,,,
978-1-60888-789-7,,,,
978-1-60888-790-3,,,,
978-1-60888-791-0,,,,
978-1-60888-792-7,,,,
978-1-60888-793-4,,,,
978-1-60888-794-1,,,,
978-1-60888-795-8,,,,
978-1-60888-796-5,,,,
978-1-60888-797-2,,,,
978-1-60888-798-9,,,,
978-1-60888-799-6,,,,
978-1-60888-800-9,,,,
978-1-60888-801-6,,,,
978-1-60888-802-3,,,,
978-1-60888-803-0,,,,
978-1-60888-804-7,,,,
978-1-60888-805-4,,,,
978-1-60888-806-1,,,,
978-1-60888-807-8,,,,
978-1-60888-808-5,,,,
978-1-60888-809-2,,,,
978-1-60888-810-8,,,,
978-1-60888-811-5,,,,
978-1-60888-812-2,,,,
978-1-60888-813-9,,,,
978-1-60888-814-6,,,,
978-1-60888-815-3,,,,
978-1-60888-816-0,,,,
978-1-60888-817-7,,,,
978-1-60888-818-4,,,,
978-1-60888-819-1,,,,
978-1-60888-820-7,,,,
978-1-60888-821-4,,,,
978-1-60888-822-1,,,,
978-1-60888-823-8,,,,
978-1-60888-824-5,,,,
978-1-60888-825-2,,,,
978-1-60888-826-9,,,,
978-1-60888-827-6,,,,
978-1-60888-828-3,,,,
978-1-60888-829-0,,,,
978-1-60888-830-6,,,,
978-1-60888-831-3,,,,
978-1-60888-832-0,,,,
978-1-60888-833-7,,,,
978-1-60888-834-4,,,,
978-1-60888-835-1,,,,
978-1-60888-836-8,,,,
978-1-60888-837-5,,,,
978-1-60888-838-2,,,,
978-1-60888-839-9,,,,
978-1-60888-840-5,,,,
978-1-60888-841-2,,,,
978-1-60888-842-9,,,,
978-1-60888-843-6,,,,
978-1-60888-844-3,,,,
978-1-60888-845-0,,,,
978-1-60888-846-7,,,,
978-1-60888-847-4,,,,
978-1-60888-848-1,,,,
978-1-60888-849-8,,,,
978-1-60888-850-4,,,,
978-1-60888-851-1,,,,
978-1-60888-852-8,,,,
978-1-60888-853-5,,,,
978-1-60888-854-2,,,,
978-1-60888-855-9,,,,
978-1-60888-856-6,,,,
978-1-60888-857-3,,,,
978-1-60888-858-0,,,,
978-1-60888-859-7,,,,
978-1-60888-860-3,,,,
978-1-60888-861-0,,,,
978-1-60888-862-7,,,,
978-1-60888-863-4,,,,
978-1-60888-864-1,,,,
978-1-60888-865-8,,,,
978-1-60888-866-5,,,,
978-1-60888-867-2,,,,
978-1-60888-868-9,,,,
978-1-60888-869-6,,,,
978-1-60888-870-2,,,,
978-1-60888-871-9,,,,
978-1-60888-872-6,,,,
978-1-60888-873-3,,,,
978-1-60888-874-0,,,,
978-1-60888-875-7,,,,
978-1-60888-876-4,,,,
978-1-60888-877-1,,,,
978-1-60888-878-8,,,,
978-1-60888-879-5,,,,
978-1-60888-880-1,,,,
978-1-60888-881-8,,,,
978-1-60888-882-5,,,,
978-1-60888-883-2,,,,
978-1-60888-884-9,,,,
978-1-60888-885-6,,,,
978-1-60888-886-3,,,,
978-1-60888-887-0,,,,
978-1-60888-888-7,,,,
978-1-60888-889-4,,,,
978-1-60888-890-0,,,,
978-1-60888-891-7,,,,
978-1-60888-892-4,,,,
978-1-60888-893-1,,,,
978-1-60888-894-8,,,,
978-1-60888-895-5,,,,
978-1-60888-896-2,,,,
978-1-60888-897-9,,,,
978-1-60888-898-6,Annotated Bibliography of the Space Shuttle (Two Volumes),,,
978-1-60888-899-3,The Sailor's Word Book,,,
978-1-60888-900-6,"Guides to Captured German Documents Microfilmed at Alexandria, Virginia",,,
978-1-60888-901-3,"A Priceless Advantage: U.S. Navy Communications Intelligence and the Battles of Coral Sea, Midway, and the Aleutians",,,
978-1-60888-902-0,An Administrative History of Pts in World War II,AC (USA),,
978-1-60888-903-7,Motor Torpedo Boat Manual,AC (USA),,
978-1-60888-904-4,Designing a Laser for the Littoral Combat Ship,AC (USA),,
978-1-60888-905-1,Analysis of Unmanned Undersea Vehicle (Uuv) Architectures and an Assessment of Uuv Integration Into Undersea Applications,AC (USA),,
978-1-60888-906-8,A Serendipity Reader on Serendipity,AC (USA),,
978-1-60888-907-5,A Serendipity Reader on Mindfulness,,,
978-1-60888-908-2,A Serendipity Reader on Milkweed,,,
978-1-60888-909-9,A Serendipity Reader on Frigates,,,
978-1-60888-910-5,A Serendipity Reader on Deutschland,,,
978-1-60888-911-2,,,,
978-1-60888-912-9,,,,
978-1-60888-913-6,,,,
978-1-60888-914-3,,,,
978-1-60888-915-0,,,,
978-1-60888-916-7,,,,
978-1-60888-917-4,,,,
978-1-60888-918-1,,,,
978-1-60888-919-8,,,,
978-1-60888-920-4,,,,
978-1-60888-921-1,,,,
978-1-60888-922-8,,,,
978-1-60888-923-5,,,,
978-1-60888-924-2,,,,
978-1-60888-925-9,,,,
978-1-60888-926-6,,,,
978-1-60888-927-3,,,,
978-1-60888-928-0,,,,
978-1-60888-929-7,,,,
978-1-60888-930-3,,,,
978-1-60888-931-0,,,,
978-1-60888-932-7,,,,
978-1-60888-933-4,,,,
978-1-60888-934-1,,,,
978-1-60888-935-8,,,,
978-1-60888-936-5,,,,
978-1-60888-937-2,,,,
978-1-60888-938-9,,,,
978-1-60888-939-6,,,,
978-1-60888-940-2,,,,
978-1-60888-941-9,,,,
978-1-60888-942-6,,,,
978-1-60888-943-3,,,,
978-1-60888-944-0,,,,
978-1-60888-945-7,,,,
978-1-60888-946-4,,,,
978-1-60888-947-1,,,,
978-1-60888-948-8,,,,
978-1-60888-949-5,,,,
978-1-60888-950-1,,,,
978-1-60888-951-8,,,,
978-1-60888-952-5,,,,
978-1-60888-953-2,,,,
978-1-60888-954-9,,,,
978-1-60888-955-6,,,,
978-1-60888-956-3,,,,
978-1-60888-957-0,,,,
978-1-60888-958-7,,,,
978-1-60888-959-4,,,,
978-1-60888-960-0,,,,
978-1-60888-961-7,,,,
978-1-60888-962-4,,,,
978-1-60888-963-1,,,,
978-1-60888-964-8,,,,
978-1-60888-965-5,,,,
978-1-60888-966-2,,,,
978-1-60888-967-9,,,,
978-1-60888-968-6,,,,
978-1-60888-969-3,,,,
978-1-60888-970-9,,,,
978-1-60888-971-6,,,,
978-1-60888-972-3,,,,
978-1-60888-973-0,,,,
978-1-60888-974-7,,,,
978-1-60888-975-4,,,,
978-1-60888-976-1,,,,
978-1-60888-977-8,,,,
978-1-60888-978-5,,,,
978-1-60888-979-2,,,,
978-1-60888-980-8,,,,
978-1-60888-981-5,,,,
978-1-60888-982-2,,,,
978-1-60888-983-9,,,,
978-1-60888-984-6,,,,
978-1-60888-985-3,,,,
978-1-60888-986-0,,,,
978-1-60888-987-7,,,,
978-1-60888-988-4,,,,
978-1-60888-989-1,,,,
978-1-60888-990-7,,,,
978-1-60888-991-4,,,,
978-1-60888-992-1,,,,
978-1-60888-993-8,,,,
978-1-60888-994-5,,,,
978-1-60888-995-2,,,,
978-1-60888-996-9,Paperback,AC (USA),,
978-1-60888-997-6,What Is Information?,,,
978-1-60888-998-3,,,,
978-1-60888-999-0,,,,