ISBN13,Title,Format,Status
978-0-9799205-0-9,Cool Science Images for Curious Kids #1,Paperback,AC (USA)/AC (GBR)
978-0-9799205-1-6,Global Perspectives,,in print
978-0-9799205-2-3,Stellar Atmospheres,,in print
978-0-9799205-3-0,Mediaverse,pb,in print
978-0-9799205-4-7,Illicit Finance Risk Assessment of Decentralized Finance,hc,in print
978-0-9799205-5-4,Alliance,,in print
978-0-9799205-6-1,State of Washington,,in print
978-0-9799205-7-8,Lloyd's Register of Shipping 1890 (v1),hc,in print
978-0-9799205-8-5,Lloyd's Register of Shipping 1890 (v2),hc,in print
978-0-9799205-9-2,"MEDICAL 
EDUCATION 
IN THE 
UNITED 
STA1rEs 
AND CANADA ",pb,in print